Solution ID,Solution Abbreviation,Case study title,Case study description,Case study link
1,Public-private partnerships,Kentucky House Bill 499,Kentucky matches funds when Kentucky employers help their employees pay for child care costs for eligible providers.,https://deandorton.com/update-on-house-bill-499-employee-child-care-assistance-partnership/
1,Public-private partnerships,Michigan Tri-Share,"Michigan’s Tri-share model helps alleviate the cost of care for families so that the government, employers, and families each pay a third of the share of care. To help employers budget, in the updated version of this program, they’re trying to set a floor and ceiling to a sliding scale model that more employees can take advantage of who might not necessarily qualify for the government benefit.",https://www.michigan.gov/mileap/early-childhood-education/mi-tri-share-child-care
1,Public-private partnerships,Oregon CHIPS Child Care Fund,Oregon passed the CHIPS Child Care Fund that builds on existing state child care programs that could support businesses in unlocking federal funds through the federal CHIPS and Science Act.,https://www.opb.org/article/2024/03/11/oregon-legislature-2004-key-education-bills/
1,Public-private partnerships,Indiana employer-sponsored childcare grants,"Indiana has awarded $25 million to employer-sponsored childcare grants. Forty employers plan to provide on-site childcare to their employees, and 15 will offer childcare tuition benefits to their workers. The remaining awardees plan to support childcare for their employees in a variety of other ways, such as reserving seats at partner childcare centers.",https://www.in.gov/gwc/files/GWC-Recommendations_2024_Update.pdf
2,Public policy,Vermont Act 76,"Vermont's business community craved a solution to recruit and retain staff. Alongside Let's Grow Kids, employers advocated for Vermont's Act 76, which committed $125 million to the child care sector annually through a 0.44% payroll tax. More families are eligible to receive financial assistance for child care than ever before, and the state is paying programs at higher weekly rates to provide that care. Since implementation, slots have surged boosting access for many families and relieving employers of staff shortages with a more stable workforce.",https://letsgrowkids.org/vermont-child-care-bill-act-76-educators-families-kids
2,Public policy,"New Orleans Early
Childhood Education Millage",New Orleans passed a property tax levy in 2022 that the state will match to provide access for more low-income families to receive early childcare education services.,https://childrensfundingproject.org/wp-content/uploads/New-Orleans-case-study_FINAL.pdf
2,Public policy,New Mexico Constitutional Amendment for Childcare,New Mexico is the first state to guarantee early childcare education as a universal right.,https://earlylearningnation.com/2022/11/new-mexico-is-the-first-state-to-guarantee-a-right-to-early-childhood-education-universal-child-care-could-come-next/
3,Employee advocacy,UPS partnership with Patch Caregiving,Patch Caregiving worked with UPS in one California facility to pilot a back-up care for frontline employees in 2022 that was so successful it led to the expansion of the program to additional facilities across the country.,https://www.supplychaindive.com/news/ups-expanding-emergency-childcare-program-employee-retention/699903/
5,Business partnerships,The Early Childhood and Business Advisory Council,"The Bipartisan Policy Center & the US Chamber of Commerce Foundation created The Early Childhood and Business Advisory Council to support the expansion of quality, affordable childcare in communities and states across the country. Their goal is to strengthen connections between businesses and early childhood communities in areas where local and state Chambers of Commerce have identified child care as a priority.",https://www.uschamberfoundation.org/education/us-chamber-commerce-foundation-and-bipartisan-policy-center-launch-new-partnership
6,Subsidized care,Molly Moon's Homemade Ice Cream,"Molly Moon's ice cream shop in Seattle, WA provides a child care subsidy so that caregivers don't have to choose between family and career. They have a set starting wage for every position in their company, a career pathways program with clear steps to promotion, fully paid health benefits, and 12 weeks of fully paid parental leave.",https://www.mollymoon.com/icecreamforeveryone
6,Subsidized care,Mazda Toyota Manufacturing,"Mazda Toyota Manufacturing partnered with TOOTRiS to support caregivers to find slots for temporary childcare, drop-ins, and non-traditional work schedules.",https://hsvchamber.org/mazda-toyota-manufacturing-and-tootris-partner-to-provide-child-care-assistance/
6,Subsidized care,Horizon Media's partnership with Vivvi,"In partnership with Horizon’s Employee resource group and Chief Talent Officer, Vivvi designed a comprehensive program that makes exceptional care and learning accessible across Horizon’s organization. The solution that Vivvi and Horizon implemented included subsidized full-time care for parents returning to work and fully subsidized emergency backup care for all Horizon families.",https://go.vivvi.com/horizoncasestudy
6,Subsidized care,Tyson Foods,"Tyson Foods has employer-sponsored child care facility near the company’s Humboldt, Tennessee, poultry processing complex with KinderCare—they subsidize tuition to help lower the cost for its team members.",https://www.tysonfoods.com/news/news-releases/2023/7/tyson-foods-celebrates-grand-opening-child-care-facility
6,Subsidized care,Fast Retailing,"In 2022, Fast Retailing and its group companies in the United States started a child care stipend of a maximum $1,000 a month per child for up to 36 months.",https://www.fastretailing.com/eng/sustainability/employee/diversity.html
7,Asset mapping,Merck,"Merck created a journey map for employees to understand the company's current offerings depending on what needs the employee is facing. Many of these benefits relate to a myriad of obstacles a caregiver might face. For example, they outline physical, mental, & financial support benefits and showcase offerings for employees who want to build a family, care for loved ones, or take time away from work.",https://www.benefitsatmerck.com/wp-content/uploads/2023/09/MRK-2024-AE-mailer-L6a-090623-journeymap-post.pdf
8,Care campaign,Moms First,Watch this campaign about mom guilt.,https://momsfirst.us/a-cure-for-mom-guilt/
