Solution ID,Solution abbreviation,Quote,Quote author ID,Author name,Author title
1,Public-private partnerships,"""The Tri-Share program is simply excellent. The benefit is arguably one of the best benefits outside of health insurance.""",5,Cheryl Bergman,"Executive Director, Michigan's Women's Commission"
1,Public-private partnerships,"“Tri-Share is a great tool for employers. When businesses utilize it, they experience significant cost savings from retention and recruitment costs.”",6,Marcus Keech,"Director of Government Affairs, Grand Rapids Chamber of Commerce"
3,Employee advocacy,"""We are an organization that has many departments that can service both our business and on-site childcare center. We have a finance department to help our Childcare Director with her budget. We have the security department to deal with entrance/door security. We have an IT department for internet support. Many businesses already have this infrastructure and a childcare center is like another department that they can serve.""",8,Loryn Duke,"Communications Director, Steamboat Resort"
4,Care culture,"""We learned our people were calling in sick for themselves when they had a childcare issue. In their minds, there was a stigma associated with having childcare issues that they wanted to avoid.""",9,Danelle McCusker Rees,"President, Human Resources & Operations Training, UPS"
4,Care culture,“Our care policies help us get rockstar talent. Our attrition is low because people come and they stay with us. We don’t see a motherhood or parenthood penalty at Etsy.”,10,Josh Silverman,"CEO, Etsy"
4,Care culture,"“Until we actually look at care from a holistic perspective and make sure we are supporting and encouraging people in creating a culture where they feel empowered to prioritize their childcare needs, then the tactical solutions won’t make that much of a difference. Are we creating the culture where employees feel that they have the agency to take the benefits that are available to them? If not, these benefits won’t matter.""",11,Hillary Hittner,"Co-Founder, LUMO"
5,Business partnerships,"""Government spending on childcare benefits is effectively building a workforce. Employers advocating for government benefits for childcare is one of the most powerful ways to get movement and further support needed.""",12,Siran Cao,"CEO & Co-Founder, Mirza"
6,Subsidized care,"“One of our employees who received a childcare subsidy immediately found more reliable childcare and applied to be promoted from a shift leader to a manager role. Her boss went on maternity leave this year and she stepped in as interim shop manager. We’ve now promoted her to run her own shop. We have given her the tools to balance supporting her family financially, providing quality care for her child, and moving forward in a career she is great at. That is the power of investing in care.""",13,Molly Moon,"Founder & CEO, Molly Moon's Homemade Ice Cream"
7,Asset mapping,"""We’ve continued to hear from our business leaders that many of them are trying to address childcare directly in their communities and don't know how to do that. We work to help them understand how to address childcare needs for the business, employees, and the community. We approach this from an equitable and community-minded perspective, helping them find the right solution and then understanding the long-term financial implications and feasibility of that solution.”",14,Nicole Riehl,"President & CEO, EPIC"
8,Care campaign,"""The more we can learn from examples of employers customizing care benefits for their specific employees, the more we can take them to public policy leaders and create solutions through customization.""",15,Patrice Cromwell,"Former Vice President of the Center for Economic Opportunity, Annie E. Casey Foundation"
11,Care leader collaboration,"""We are not a childcare business. We had no expectations that we would know how to open or operate a childcare center, but there are so many resources out there to help you. Everyone wants to share their successes and toolkits. There are so many resources out there to help you understand what the process looks like, how it's feasible, and then help you get up and running to be successful.""",8,Loryn Duke,"Communications Director, Steamboat Resort"
11,Care leader collaboration,"""When we started thinking we could open a childcare center, we started calling everyone we knew in the space to ask how they got started- We got on the phone with Patagonia, our local County Commissioner who had experience with childcare, we even called local childcare centers to ask how they got started. Everyone was so generous with their time and advice and it helped us understand the first steps.""",16,Morgan Bast,"Marketing Director, Steamboat Resort"
12,Benefits cliff consideration,"“Never decline people from climbing the ladder of economic prosperity. We want to increase MIchigan's Tri-Share to include a sliding scale so we can get rid of the benefits cliff. Right now, as somebody is making more money, they become ineligible for the full third of the benefit from the state. So, we hear people are declining promotions and raises because then they will get kicked out of the program.”",6,Marcus Keech,"Director of Government Affairs, Grand Rapids Chamber of Commerce"
13,CHIPS Act grants,"""We’re going to invest over $100M in manufacturing capabilities for 100K jobs. We need to attract and retain a workforce moving forward. We’re making enhancements – like extending the number of days for back-up programs. We’re partnering with Patch Caregiving to have a dedicated facility for 24/7 back-up care. We're focused on helping build facilitities that will serve contingent workers to ensure they have access to discounted programs. We think this will help us attract the workforce of tomorrow and we can care for the future generation of innovators while we’re doing this.""",17,Amber Wiseley,"Vice President, Total Rewards, Intel"
14,ROI measurement,"""We tried to make our pitch as metric-bound as possible, that's what spoke to our decision-makers: the number of employees who have kids, the stats on our regional childcare desert, the stats on those who are leaving our workforce, and more. We Built a toolkit to convince executives and show the long-term ROI on how these benefits could pay off.""",16,Morgan Bast,"Marketing Director, Steamboat Resort"
14,ROI measurement,"""We decided we wanted to experiment with a solution for our people.  One of the most critical components of starting a new program is getting early buy-in from your executive leadership team. We asked for a little bit of funding to see what we could learn. We ran a pilot which gave us the ability to build the business case for our backup childcare program through data, statistics, and a tangible ROI.”",9,Danelle McCusker Rees,"President, Human Resources & Operations Training, UPS"
15,Coverage bonus,"""We were able to showcase that a lot of our non-caregiver workforce was still supportive of childcare benefits because they were impacted by caregivers when they had to leave because of lack of childcare.""",8,Loryn Duke,"Communications Director, Steamboat Resort"
19,Employee resource group,"“Our care ERG is something that all of our employees can participate in, including frontline and part-time employees. It's a really great option to hear the feedback from what people are looking for, what they need, and then we can provide support. They've also been able to advocate for some additional resources, like a caregiving coach who can help look for care options in your area that fit your needs.”",19,Theresa Roma,"Senior Product Manager, Wellness Solutions, Guardian Life Insurance"
19,Employee resource group,"""The first step for us was creating a business resource group for women in operations. This gave us the ability to have candid conversations and build trust with our people. We heard that our people, especially women, believed they had to choose between having children or having a career; in their minds, they couldn’t have both.""",9,Danelle McCusker Rees,"President, Human Resources & Operations Training, UPS"
19,Employee resource group,"""One of the most important factors of getting on-site daycare across the finish line was passion from our employees. It was really a group of parents within the organization who started advocating for this and were relentless about it. It was almost impossible for our leadership to ignore the employees saying that childcare was super important.""",8,Loryn Duke,"Communications Director, Steamboat Resort"
19,Employee resource group,"""We listen to the needs of our people by establishing a Parent ERG where we have a direct forum where we get feedback on programs that will be meaningful to people.""",20,Kate Clifford,"Chief Human Resources Officer, North America, Accenture"
21,Pilots,"“We started small at one facility with a six-month pilot for an emergency or backup childcare program. We found 77% of our bookings during the pilot were happening within a 48 hour period, meaning they were true emergencies. We really wanted to solve for the gap in primary care. Then the ROI comes into play because when someone can't show up at work, there's operational pressure. This pilot proved to release that pressure, providing consistency and stability in our workforce.  We avoided over 120 absences and our retention went from 69% to an incredible 96%!”",9,Danelle McCusker Rees,"President, Human Resources & Operations Training, UPS"
