Solution ID,Solution abbreviation,Resource title,Resource link,Resource description
1,Public-private partnerships,Early Childhood Strategy: PPPs,https://www.prichardcommittee.org/resources/curated-early-childhood-strategy-public-private-partnerships,See examples and elements of PPPs that can address the care crisis
2,Public policy,Ask your legislator to champion childcare investments,https://startearly.quorum.us/campaign/28744/,Ask your legislator to champion early childhood investments through Start Early's campaign.
2,Public policy,The Federal Tax Code and Child Care,https://www.ffyf.org/resources/2023/09/the-first-five-things-to-know-about-the-federal-tax-code-and-child-care/,Read about the federal tax code & childcare to reform policy to support businesses in providing childcare.
2,Public policy,Moms First,https://momsfirst.us/,Moms First aims to create sweeping changes by galvanizing the private sector to transform our workplaces to work for caregivers and why we must invest in them.
3,Employee advocacy,Deck to pitch leaders on care,https://childcareforall.nationswell.com/#download-materials,NationSwell's Case for Childcare Collaborative has built a customizable deck to help leaders advocate for childcare benefits.
3,Employee advocacy,The employee benefit that pays for itself,https://www.bcg.com/publications/2024/childcare-benefits-pay-for-themselves-at-us-companies,"Read about how a pilot program at UPS, which added onsite emergency childcare in one Northern California facility, made the case for expanding its childcare experiment to eight sites in six states by the end of 2024."
4,Care culture,Top 10 family-friendly benefits ,https://www.care.com/business/family-friendly-benefits/,Review family friendly benefits for parents and caregivers.
4,Care culture,Vivvi,https://vivvi.com/blog/employers/articles/blog-build-parent-inclusive-workplace,Read Vivvi's blog on how to create a better future for caregivers by building a parent-friendly workplace
4,Care culture,Families and Work Institute research,https://www.familiesandwork.org/research,The Families and Work Institute conducts research and provides resources focused on work-life balance and supporting caregivers.
4,Care culture,Supporting Employee Caregivers,https://www.shrm.org/topics-tools/news/all-things-work/supporting-employee-caregivers,"Society for Human Resource Management (SHRM) provides articles and research on building a supportive workplace culture for caregivers, including best practices and case studies"
5,Business partnerships,Chamber of Commerce directory,https://www.uschamber.com/co/chambers,Find your local Chamber of Commerce using this directory
