Solution ID,Solution abbreviation,Resource title,Resource link,Resource description
1,Public-private partnerships,The Prichard Committee,https://www.prichardcommittee.org/resources/curated-early-childhood-strategy-public-private-partnerships,See examples and elements of PPPs that can address the care crisis
2,Public policy,Start Early,https://startearly.quorum.us/campaign/28744/,Ask your legislator to champion early childhood investments through Start Early's campaign.
2,Public policy,First Five Years Fund,https://www.ffyf.org/resources/2023/09/the-first-five-things-to-know-about-the-federal-tax-code-and-child-care/,Read about the federal tax code & childcare to reform policy to support businesses in providing childcare.
2,Public policy,Moms First,https://momsfirst.us/,Moms First aims to create sweeping changes by galvanizing the private sector to transform our workplaces to work for caregivers and why we must invest in them.
3,Employee advocacy,Case for Childcare Collaborative,,NationSwell's Case for Childcare Collaborative has built a customizable deck to help leaders advocate for childcare benefits.
4,Care culture,Care,https://www.care.com/business/family-friendly-benefits/,Review family friendly benefits for parents and caregivers.
4,Care culture,Vivvi,https://vivvi.com/blog/employers/articles/blog-build-parent-inclusive-workplace,Read Vivvi's blog on how to create a better future for caregivers by building a parent-friendly workplace
4,Care culture,Families and Work Institute,https://www.familiesandwork.org/research,The Families and Work Institute conducts research and provides resources focused on work-life balance and supporting caregivers.
4,Care culture,SHRM,https://www.shrm.org/advocacy/policy/workplace-inclusion,"Society for Human Resource Management (SHRM) provides articles and research on building a supportive workplace culture for caregivers, including best practices and case studies"
4,Care culture,SHRM,https://www.shrm.org/topics-tools/news/all-things-work/supporting-employee-caregivers,"Society for Human Resource Management (SHRM) provides articles and research on building a supportive workplace culture for caregivers, including best practices and case studies"
5,Business partnerships,U.S. Chamber of Commerce,https://www.uschamber.com/co/chambers,Find your local Chamber of Commerce using this directory
6,Subsidized care,Compt,https://compt.io/guide/child-care-stipends/,"Read about childcare stipends- their purpose, the benefits of providing them, peers who are already offering them, and a guide on how to implement them at your company. "
7,Asset Mapping,Colorado Epic,https://www.coloradoepic.org/,"Executives Partnering to Invest in Children (EPIC) enables the business community to build the workforce of tomorrow while supporting the workforce of today by providing tailored consulting to define and develop custom childcare solutions for employers. In December 2024, they are launching an Employer Child Care Navigator, which will be a first-of-its-kind national tool to match the needs of employeers with childcare providers and vendors they need to support their childcare goals. "
8,Care campaign,Moms First,https://momsfirst.us/ontherecord/,Join the Get Child Care on the Record Campaign.
