Solution ID,Solution abbreviation,Solution,Category,Description,Filter category
1,Public-private partnerships,Address caregiving needs through public-private partnerships (PPPs),"Policy, Advocacy, & Systemic Change",Leverage the assets of partnership between government entitites and private companies to address the care crisis. PPPs can be an effective strategy for bringing about more access and affordability to early childcare education in communities. ,How can I innovate?
2,Public policy,Advocate for public policy support for care,"Policy, Advocacy, & Systemic Change","Local, state, and federal policies can support the care movement by scaling benefits for all workers. As an employer, you have a role in advocating for these policies to get enacted: you can sign a petition for the extension of the Child Care Stabilization program, support an increased tax credit for businesses who provide childcare, or advocate for subsidized salaries for childcare workers so more care options can exist for your workers. ",How can I most support frontline workers?
3,Employee advocacy,Build the case for caregiving benefits for your workforce,"Policy, Advocacy, & Systemic Change","Expose the gaps of the care system your employee base has to tackle to remain in the workforce. Build a clear, digestible directory of services for caregivers, specific to your geographic region, highlighting centers, family-based care, nonprofits, faith-based organizations, & Head Start/Early Head Start programs. Use this directory to advocate for employer-sponsored services to fill any gaps in services.",How do I get started?
4,Care culture,Empower caregivers in your organizational culture,Employee Engagement & Culture,"Create a culture that celebrates care. Empower employees to utilize childcare benefits that exist, encourage leadership to normalize conversation about their care responsibilites, and prompt employees to share knowledge, like through an employee resource group. Ensure language and policies are inclusive for caregivers in unique situations, like those who care for children with disabilities. In the physical space, ensure there are accommodations for new parents, like a lactation room & providing time for these parents to nurse during their shifts.",How do I get started?
5,Business partnerships,Collaborate with your Chamber of Commerce & your representatives ,"Policy, Advocacy, & Systemic Change","Your local Chamber of Commerce works to influence policies that support businesses and the workforce. Partner and collaborate with them to advocate for public policies that can support your employee base's needs. In addition, understand your local representatives and their stance on caregiving policies.",
6,Subsidized care,Compensate employees directly for childcare costs ,Direct Care Solutions,"Provide a set monthly childcare stipend or build a relationship with a nearby childcare provider where employees get a subsidized rate of care or credits for employees. Funds might be used to lower costs of care, pay for care expenses during holidays or breaks when care centers are closed, or compensate for emergency care when the full-time option falls through.",How can I most support frontline workers?
7,Asset mapping,Conduct a needs & assets assessment with employees,Learning & Assessment,"Go through an in-depth process to understand the current benefits you offer caregivers, employee caregiving needs you can address, and your community's resources related to caregiving. This process can reveal the challenges your talent face and how your business could support these gaps in services.",How do I get started?
8,Care campaign,Create or support a care campaign to value this work,"Policy, Advocacy, & Systemic Change","The United States culture does not currently value caregiving in the same ways it values other professions. There's an opportunity to build compelling, informative, and thought-provoking campaigns to showcase the realities of childcare work and the necessity of care workers and educators as the foundation for our economy and workforce participation. Proximity to an issue helps people understand the realities & barriers others face, exposing that care is the bedrock of our society. ",How can I innovate?
9,Childcare philanthropy,Donate a portion of your philanthropy to the care sector,"Policy, Advocacy, & Systemic Change","Private investments or donations to support the childcare economy can enhance the quality, availability, and affordability of childcare, which, in turn, can retain and boost participation in the workforce. Consider how childcare can be a tactic to achieve your philanthropic social impact pillars or workforce development strategies. ",How can I innovate?
10,Tax benefit education,Educate employees about the Child & Dependent Care Tax Credit (CDCTC),Financial Support & Benefits,"Help employees understand if they qualify for CDCTC funding to help pay for eligible care costs. Supporting employees to unlock public benefits is a way to boost their access to childcare support, enabling them the opportunity to more fully thrive in the workplace.",
11,Care leader collaboration,Learn from those who are already deeply versed in caregiving benefits,Learning & Assessment,"Begin to explore existing resources from your peers and leaders within the care movement, tapping into the knowledge and resources that already exist. Take time to look into local initiatives to understand the unique aspects of the regions where you operate. Contact local childcare centers to understand what partnerships could look like. ",How do I get started?
12,Benefits cliff consideration,Learn how you can support employees affected by the benefits cliff ,"Policy, Advocacy, & Systemic Change","Some employees might be forced to decline promotions if it means they will putt them over the income eligibility for public services, like disqualifying them from receiving government assistance for care. This benefits cliff locks them into a path with less opportunity for economic mobility and opportunity. When offering promotions, ensure employees who might fall in this category are compensated or provided additional benefits that can replace their lack of government assistance for services like childcare or housing assistance. ",How can I most support frontline workers?
13,CHIPS Act grants,Learn if you qualify for the CHIPS Act grants,Financial Support & Benefits,"The CHIPS & Science Act of 2022 established a fund to carry out activities relating to the creation of incentives to produce semiconductors in the United States. Companies who receive these grants will unlock funding and loans that will boost the production of semiconductors in the USA, while also supporting childcare for their workers. ",
14,ROI measurement,Measure your caregiving ROI & share it publically,Learning & Assessment,"Take stock of the return on your childcare investments-both the tangible costs recouped (like tax credits or employee retention) but also the intangible benefits (like employee loyalty, satisfaction, promotion,  or trust). Once you've calculated the ROI, share this breakdown publically to encourage peers to push their own caregiving support forward without the excuse that there's no ROI. ",How can I innovate?
15,Coverage bonus,Offer a coverage bonus for employees while caregivers are on leave,Flexible Work & Leave Policies,"When an employee takes parental or medical leave to care for loved ones, create a culture that supports the entire team by offering a coverage bonus to close colleagues who will cover for them while they're on leave. This not only encourages employees to feel supported when they are on leave, but also it maintains equity for those who are taking on additional responsibilities when the team is short-staffed. ",How can I innovate?
16,Flexible spending accounts,Offer Flexible Spending Accounts (FSA),Flexible Work & Leave Policies,Give employees the option of setting aside pre-tax dollars to pay for eligible medical expenses for them and their dependents (through a Dependent Care FSA). This benefit can help lower costs of necessary services for caregivers and those they are caring for.,
17,Health insurance,Offer health insurance to all to support both caregivers & those they care for,Financial Support & Benefits,"Explore existing resources from peers and leaders within the care movement, tapping into the knowledge and resources that already exist. Take time to look into local initiatives to understand the unique aspects of the regions where you operate. Contact local childcare centers to understand what partnerships could look like. ",How can I most support frontline workers?
18,Mental health resources,Include mental health resources and services in your benefits package ,Employee Engagement & Culture,"Mental health support is especially important for caregivers and those facing postapartum depression. When considering who can receive benefits, ensure you cover those workers who are traditionally excluded, like frontline workers. This will not only support caregivers in navigating their care obstacles, but it will also help keep them engaged in the workforce.",
19,Employee resource group,Organize an employee resource group (ERG) for caregivers,Employee Engagement & Culture,"Build space and time for your staff to connect around caregiving, empowering employees to share knowledge, discover temporary fixes, and spark a culture of prioritizing care. Often, having an ERG is a great place to start from a listening perspective, and also helps with advocacy when it comes to implementing benefits. Going a step further, have ERGs for specific kinds of caregivers, like those caring for people with disabilities or expecting parents to provide community and shared resources for more specific groups.",How do I get started?
