Solution abbreviation,Solution,Category,Description,Resources,Case studies ,Quote,Filter category,Extra resources/case studies/quotes (if needed)
Public-private partnerships,Address wider caregiving employee needs through public-private partnerships,"Policy, Advocacy, & Systemic Change",Leverage the assets of both government entitites and private organizations to work together to address the care crisis. Public-private partnerships (PPPs) can be an effective strategy for bringing about more access and affordability to early childcare education in communities. ,See examples and elements of PPPs that can address the care crisis,"Kentucky matches funds when Kentucky employers help their employees pay for child care costs for eligible providers.

Michigan’s Tri-share model helps alleviate the cost of care for families so that the government, employers, and families each pay a third of the share of care. To help employers budget, in the updated version of this program, they’re trying to set a floor and ceiling to a sliding scale model that more employees can take advantage of who might not necessarily qualify for the government benefit. 

Oregon passed the CHIPS Child Care Fund that builds on existing state child care programs that could support businesses in unlocking federal funds through the federal CHIPS and Science Act.

Indiana has awarded $25 million to employer-sponsored childcare grants. Forty employers plan to provide on-site childcare to their employees, and 15 will offer childcare tuition benefits to their workers. The remaining awardees plan to support childcare for their employees in a variety of other ways, such as reserving seats at partner childcare centers.","""The Tri-Share program is simply excellent. The benefit is arguably one of the best benefits outside of health insurance."" -Cheryl Bergman, Executive Director, Michigan's Women's Commission

“Tri-Share is a great tool for employers. When businesses utilize it, they experience significant cost savings from retention and recruitment costs.” - Marcus Keech, Grand Rapids Chamber",I want to innovate,"“Our ultimate goal in going statewide with Tri-Share is to establish regional hubs that partner with businesses and providers, and create a platform where parents can go in and reserve slots rather than having to go and find their own provider and potentially join a wait list, which is currently what they have to do. Instead, the hub will show that we have these 20 slots in our county, and you can see where they're located based on where you live and where you work. We want to take a lot of the stress away from the individual families. These are people that are out there working nonstop trying to put food on their table, just trying to get back into the workplace, so to create additional barriers for them doesn't make sense.” - Marcus Keech, Grand Rapids Chamber"
Public support advocacy,Advocate for public support for care,"Policy, Advocacy, & Systemic Change","Local, state, and federal policies can support the care movement by scaling benefits for all workers. As an employer, you have a role in advocating for these policies to get enacted. For example, you can sign a petition for the extension of the Child Care Stabilization program, support an increased tax credit for businesses who provide childcare, or ask for subsidized salaries for childcare workers so more care options exist for your workers. ","Ask your legislator to champion early childhood investments through Start Early's campaign.

Read about the federal tax code & childcare to reform policy to support businesses in providing childcare.

Moms First aims to create sweeping changes by galvanizing the private sector to transform our workplaces to work for caregivers and why we must invest in them.","Vermont's business community craved a solution to recruit and retain staff. Alongside Let's Grow Kids, employers advocated for Vermont's Act 76, which commited $125 million to the child care sector annually through a 0.44% payroll tax. More families are eligible to receive financial assistance for child care than ever before, and the state is paying programs at higher weekly rates to provide that care. Since implementation, slots have surged boosting access for many families and relieving employers of staff shortages with a more stable workforce.
New Orleans passed a property tax levy in 2022 that the state will match to provide access for more low-income families to receive early childcare education services.
New Mexico is the first state to guarantee early childcare education as a universal right.  ","""In Vermont, there was a lot of endorsement from the business community for childcare support but they were all band-aid solutions. So, the business community got together with Let’s Grow Kids and they came up with a few ways to forge a new revenue stream towards childcare solutions. They passed a 0.44% payroll tax, which businesses supported, to deposit into the Child Care Contribution Special Fund. Childcare supports are not just the right thing for the educational foundation of the youngest learners, but it also makes good business sense to invest in childcare, and to make sure that all stakeholders are at the table to ensure structural systemic improvement.” - Aaron Merchen, Chamber of Commerce",,Texas passed a local option property tax exemption for eligible center-based providers
Build the case,Build the case for caregiving benefits in your geography with your workforce,"Policy, Advocacy, & Systemic Change","Show the needs of your employee base by revealing gaps in the care system that people have to overcome to remain in the workforce. Build a clear, digestible directory of services for caregivers, specific to your geographic region, highlighting centers, family-based care, nonprofits, faith-based organizations, & Head Start/Early Head Start programs. Use this to advocate for the company to fill the gaps in services.",,Patch Caregiving worked with UPS in one California facility to pilot a back-up care for frontline employees in 2022 that was so successful it led to the expansion of the program to additional facilities across the country.,"“The biggest pushback we got from leadership was that a childcare center would not be an equal benefit since it is only for parents. We were able to showcase that a lot of our non-parent workforce was supportive of this policy, though, because they were impacted by parents' absenteeism and lack of productivity because of lack of childcare.” - Loryn Duke, Steamboat Ski Resort",,
Culture shift,Change your culture to empower caregivers ,Employee Engagement & Culture,"Create a culture that celebrates care. Empower employees to utilize childcare benefits that exist, encourage leadership to normalize conversation about their care responsibilites, and prompt employees to share knowledge, like through an employee resource group. Ensure language and policies are inclusive for caregivers in unique situations, like those who care for children with disabilities. In the physical space, ensure there are accommodations for new parents, like a lactation room & providing time for these parents to nurse during their shifts.","Review family friendly benefits for parents and caregivers.

Read Vivvi's blog on how to create a better future for caregivers by building a parent-friendly workplace

The Families and Work Institute conducts research and provides resources focused on work-life balance and supporting caregivers.

Society for Human Resource Management (SHRM) provides articles and research on building a supportive workplace culture for caregivers, including best practices and case studies, like this page on Workplace Inclusion or Supporting Employee Caregivers.",,"""We found our people were calling in sick for themselves and they would never admit to their employer that they were calling out for a childcare issue because in their minds it was automatically a stigma that was associated with it and they didn't want to go through that."" - Danelle McCusker Rees, UPS

“Our care policies help us get rockstar talent. Our attrition is low because people come and they stay with us. We don’t see a motherhood or parenthood penalty at Etsy.” -Josh Silverman, CEO, Etsy",,"“I myself worked at an ad agency where I couldn’t even tell them I had a kid for the first 6 months of working there. I think that until we actually also look at it from a holistic perspective, and make sure we also supporting and encouraging people in creating a culture where they feel empowered to prioritize their childcare needs, then the tactical solutions won’t make that much of a difference.” - Hillary Hittner, LUMO

""Are we creating the culture where employees feel that they have the agency to take the benefits that are available to them? If not, these benefits won’t matter."" -Hillary Hittner, LUMO Leadership"
Collaborate with representatvies,Collaborate with your Chamber of Commerce & your representatives ,"Policy, Advocacy, & Systemic Change","Your local Chamber of Commerce will work to influence policies that will support your business and the workforce. Partner with them to advocate for public policies that can support your employee base's needs. In addition, understand your local representatives and their stance on caregiving policies.",Find your local Chamber of Commerce using this directory,"The Bipartisan Policy Center & the US Chamber of Commerce Foundation created The Early Childhood and Business Advisory Council to support the expansion of quality, affordable childcare in communities and states across the country. Their goal is to strengthen connections between businesses and early childhood communities in areas where local and state Chambers of Commerce have identified child care as a priority. ","""Employers advocating for government benefits for childcare is one of the most powerful ways to get movement on this."" -Siran Cao ",,
Direct compensation,"Compensate employees directly for childcare costs through stipends, subsidies, or credits",Direct Care Solutions,"Provide a set monthly childcare allowance or build a relationship with a nearby childcare provider where employees get a discount or a credit. Funds might be used to lower costs of care, pay for care expenses during holidays or breaks when care centers are closed, or compensate for emergency care when the full-time option falls through.","Read about childcare stipends- their purpose, the benefits of providing them, peers who are already offering them, and a guide on how to implement them at your company. ","Molly Moon's ice cream shop provides a child care subsidy so that caregivers don't have to choose between family and career. They have a set starting wage for every position in our company, a career pathways program with clear steps to promotion, fully paid health benefits, and 12 weeks of fully paid parental leave.

Mazda Toyota Manufacturing partnered with TOOTRiS to support caregivers to find slots for temporary childcare, drop-ins, and non-traditional work schedules.

Tyson Foods: has employer-sponsored child care facility near the company’s Humboldt, Tennessee, poultry processing complex with KinderCare—they subsidize tuition to help lower the cost for its team members.

In 2022, Fast Retailing and its group companies in the United States started a child care stipend of a maximum $1,000 a month per child for up to 36 months.","""We gave one employee a childcare subsidy & she immediately found more reliable childcare. She applied to be promoted from a shift leader to a manager role. Her boss went on maternity leave and she trained to be an interim shop manager. We're going to promote her to run her own shop. We have given her the tools to support her family and to make a family-sustaining wage after her previous salary was below the poverty line. That is the power of investing in childcare."" -Molly Moon, Founder & CEO of Molly Moon's Homemade Ice Cream",,"Etsy employees can use $4,000 in backup childcare credits annually, along with a $1,000 stipend, and 60% of parents claim that the offerings had enabled them to stay in the workforce. 
Marriott: offers discounts at more than 2,200 childcare centers. Associates can also save money in a Dependent Care Spending Account using pre-tax dollars to help pay for childcare expenses. 
Vivvi makes exceptional care and learning more accessible and affordable for working families by partnering with employers of all sizes to provide child care as a benefit.
Explore NY's assistance program."
Needs & assets assessment,Conduct a needs & assets assessment ,Learning & Assessment,"Go through an in-depth process to understand the current assets & benefits you offer caregivers, the employee needs that you can address, and your community's resources related to caregiving. This process can reveal the challenges your talent face and how your business could support these gaps in services.","Executives Partnering to Invest in Children (EPIC) enables the business community to build the workforce of tomorrow while supporting the workforce of today by providing tailored consulting to define and develop custom childcare solutions for employers. In December 2024, they are launching an Employer Child Care Navigator, which will be a first-of-its-kind national tool to match the needs of employeers with childcare providers and vendors they need to support their childcare goals. ","Merck created a journey map for employees to understand the company's current offerings depending on what needs the employee is facing. Many of these benefits relate to a myriad of obstacles a caregiver might face. For example, they outline physical, mental, & financial support benefits and showcase offerings for employees who want to build a family, care for loved ones, or take time away from work.","""We’ve continued to hear from our business leaders that many of them are trying to address childcare directly in their communities and don't know how to do that. We work to help them understand how to address childcare needs for the business, employees, and the community. We approach this from an equitable and community-minded perspective, helping them find the right solution and then understanding the long-term financial implications and feasibility of that solution.” -Nicole Riehl, EPIC",I'm just getting started,
Care campaign,Create or support a care campaign,"Policy, Advocacy, & Systemic Change","The United States has a broken childcare business model and culture does not value caregiving. Leaders in the care economy are working to build compelling, informative, and thought-provoking campaigns that showcase the realities of childcare work, how to access benefits, and where to go for support. Proximity to an issue helps people understand the realities & barriers others face, exposing that care is the bedrock of our society. ",,"Join the Get Child Care on the Record Campaign.

Participate in the #ShowUsYourChildCare Campaign.

Watch this campaign about mom guilt.","""The more we can see corporations supporting care, the more momentum we have to build on to take to public policy leaders that can help create more solutions. "" -Patrice Cromwell, Annie E. Casey Foundation",I want to innovate,
Donate to care sector,Donate a portion of your philanthropy to the care sector,"Policy, Advocacy, & Systemic Change","Private investments or donations to support the childcare economy can enhance the quality, availability, and affordability of childcare, which, in turn, can retain and boost participation in the workforce. Consider how childcare can be a tactic to achieve your social impact pillars or workforce development strategies. ","The Raising Child Care Fund is an initiative of Early Childhood Funders Collaborative that pools private foundation dollars to give grants to groups that lift up the voices of families, early educators, and allies—working alongside them to build powerful coalitions to transform child care and expand equity.","JPMorgan Chase has taken a strong stand on donating to the childcare ecosystem to support their focus on both small businesses and minority-owned businesses. For example, in Washington, D.C., they made a $5 million commitment to launch the Advancing Early Education Collaborative, which is a partnership to increase access to education, skills, and training opportunities, as well as wealth building and capacity building for early childhood educators and the centers that employ them. 

IBM has a long history of both supporting employees and communities with childcare needs, recognizing the childcare system is broken and needs philanthropic support from corporates.",,I want to innovate,
Tax credit education,Educate employees about the Child & Dependent Care Tax Credit (CDCTC),Financial Support & Benefits,"Help employees understand if they qualify for CDCTC funding to help pay for eligible care costs. Supporting employees to unlock public benefits is a way to boost their access to childcare support, enabling them the opportunity to more fully thrive in the workplace.",Read about the CDCTC. ,,,,
Learn from others,Learn from those who are already deeply versed in the caregiving space,Learning & Assessment,"Begin to explore existing resources from your peers and leaders within the care movement, tapping into the knowledge and resources that already exist. Take time to look into local initiatives to understand the unique aspects of the regions where you operate. Contact local childcare centers to understand what partnerships could look like. ","Click through Invest in Care by the Holding Co. that guides corporates, entrepreneurs, and investors on the care economy.

Explore Child Care Aware's search that can help caregivers search for options. 

Review Women.NYC's childcare toolkit for employers.

The Caregiver Action Network provides resources for family caregivers and advocates for changes in workplace policies to support those balancing work and caregiving responsibilities.",,"""We are not a childcare business. We had no expectations that we would know how to open or operate a childcare center, but there are so many resources out there to help you. Everyone wants to share their successes and toolkits. There are so many resources out there to help you understand what the process looks like, how it's feasible, and then help you get up and running to be successful."" -Loryn Duke, Steamboat Resort

""When we started thinking we could open an on-site center, I started calling everyone I knew in the space to ask how they got started-I got on the phone with Patagonia, our local County Commissioner who had experience with childcare, I called childcare centers to ask how they got started. Everyone was so generous with their time and advice and it helped us understand the first steps."" -Morgan Bast, Marketing Director, Steamboat Resort",I'm just getting started,
Address benefits cliff,Learn how you can support employees affected by the benefits cliff ,"Policy, Advocacy, & Systemic Change","Some employees might be forced to decline promotions if it means they will be disqualified from receiving government assistance, locking them into a path with less economic mobility. When offering promotions, ensure employees who might fall in this category are compensated or provided benefits that can replace their lack of government assistance. ",Learn about the distinction of a ‘benefits cliff’ and what can be done to support families who encounter this as a headwind to economic mobility.,Massachusetts continued funding childcare stabilization grants after the American Rescue Plan expired by investing $475M in 2024 in the Commonwealth Cares for Children (C3) state program.  ,"“Never decline people from climbing the ladder of economic prosperity. We want to increase MIchigan's Tri-Share to include a sliding scale so we can get rid of the benefits cliff. Right now, as somebody is making more money, they become ineligible for the full third of the benefit from the state. So, we hear people are declining promotions and raises because then they will get kicked out of the program.” -Marcus Keech, Grand Rapids Chamber of Commerce",The most critical aspects for frontline workers,
CHIPS Act grants,Learn if you qualify for the CHIPS Act grants,Financial Support & Benefits,The CHIPS & Science Act of 2022 established a fund to carry out activities relating to the creation of incentives to produce semiconductors in the United States. Manufacturing and construction companies who receive these grants will be required to provide childcare for their workers. ,"Learn about the repercussions of the revolutionary CHIPS policy.

Read about micro-centers and how they can help scale access to affordable care options.","In 2024, Intel announced an expansion of its childcare provider networks, an expansion of its current backup childcare benefits, the launch of a new childcare subsidy pilot for non-exempt employees, work with its suppliers to pilot certain childcare supports for contingent workers, and efforts to increase childcare availability near its facilities.","""We’re going to invest over $100M in manufacturing capabilities for 100K jobs. We need to attract and retain a workforce moving forward. We’re making enhancements – like extending the number of days for back-up programs. We’re partnering with Patch Caregiving to have a dedicated facility for 24/7 back-up care. We're focused on helping build facilitities that will serve contingent workers to ensure they have access to discounted programs. We think this will help us attract the workforce of tomorrow and we can care for the future generation of innovators while we’re doing this."" -Amber Wiseley, Vice President, Total Rewards, Intel
",,
Measure and share ROI,Measure your caregiving ROI & share it publically,Learning & Assessment,"Take stock of the return on your childcare investments- both the tangible costs recouped (tax credits, employee retention, etc...) but also the intangible benefits (employee loyalty, satisfaction, promotion, trust, etc...). Once you've calculated the ROI, share this breakdown publically to help encourage peers to push their own caregiving support forward. ","Read the study Moms First & BCG conducted on the ROI of childcare policies at 5 companies.

Review The Best Place for Working Parent's Child Care Toolkit tips for demonstrating the ROI of your supports.",Patagonia released their ROI of childcare policies ranging from 115-125%.,"""We tried to make our pitch as metric-bound as possible, that's what spoke to our decision-makers: the number of employees who have kids, the stats on our regional childcare desert, the stats on those who are leaving our workforce, and more. Build a toolkit to convince executives and show the long-term ROI on how these benefits could pay off."" -Morgan Bast, Marketing Director, Steamboat Resort

""One of the most critical components is getting early buy-in from your executive leadership team. We asked for a little bit of funding to go and experiment. We ran a pilot to build the data and statistics to back up a tangible ROI coming back to the business for our backupcare program."" -Danelle McCusker Rees, UPS",I want to innovate,
Coverage bonus,Offer a coverage bonus for employees while caregivers are on leave,Financial Support & Benefits,Offer a bonus to employees who cover for caregivers while they're on leave,,"NationSwell offers a bonus for employees who cover for their colleagues while they are out on paid parental leave, recognizing the work that goes into supporting caregivers from multiple angles. ","""We were able to showcase that a lot of our non-caregiver workforce was still supportive of on-site childcare because they were impacted by caregivers when they had to leave because of lack of childcare."" -Loryn Duke, Steamboat Ski Resort",,
Flexible spending accounts,Offer Flexible Spending Accounts (FSA),Financial Support & Benefits,Give employees the option of setting aside pre-tax dollars to pay for eligible medical expenses for them and their dependents (through a Dependent Care FSA). This benefit can help lower costs of necessary services for caregivers and those they are caring for.,Explore the U.S. Chamber of Commerce's Employer Guide to Childcare Assistance and Tax Credits.,,,,
Health insurance,Offer health insurance to all employees to support caregivers & those they care for,Financial Support & Benefits,"Health insurance is an essential component of a parent of caregiver's support because coverage can ease the burden of expected or unexpected medical costs. Small businesses can choose to offer health insurance for their employees and large businesses can opt to give health insurance to employees who are traditionally excluded from benefits packages (part-time, hourly, contract, or gig workers). Offering health insurance to more employees can reduce their stress, improving their well-being, while also increasing their engagement and productivity at work.","Review Invest in Care by the Holding Co., which shows the opportunity for the insurance industry to customize how caregivers can be better served and supported.",,,The most critical aspects for frontline workers,
